rank,raw_company_name,clean_company_name,display_company_name,company_name,symbol,resolved_tradingsymbol,kite_key,exchange,ipo_type,listing_date,ipo_price,ipo_price_status,ltp,listing_price,listing_price_status,current_price,price_data_status,listing_gain_pct,current_gain_pct,one_month_return_pct,three_month_return_pct,drawdown_from_52w_high_pct,gain_from_ipo_rs,issue_size,ipo_market_cap,market_cap,sector,theme,sector_score,value_score,quarterly_results_score,quarterly_results_rating,quarterly_results_coverage_pct,quarterly_results_explanation,lt_data_quality_score,lt_data_quality_status,lt_investment_score,lt_python_decision,lt_gpt_decision,lt_final_decision,lt_decision_confidence,lt_buy_zone,lt_allocation,lt_key_risk,lt_missing_evidence,lt_score,is_listed_verified,eligible_for_scoring,has_latest_financial_data,has_market_cap_data,has_valuation_data,has_shareholding_data,buy_zone_allowed,financial_data_status,symbol_resolution_confidence,symbol_resolution_status,symbol_resolution_pipeline,verification_status,isin_match_status,screener_url_status,liquidity_score,valuation_status,cash_flow_flag,governance_flag,action,suggested_buy_zone,suggested_allocation,data_quality_score,data_quality_status,risk_alerts,status_badge,status_class,screener_url,broker_url,source_url,_cache_fetched_at
1,Apsis Aerocom,Apsis Aerocom,Apsis Aerocom,Apsis Aerocom,APSISAERO,APSISAERO,,NSE,SME,₹153.00,110.0,OK,494.0,153.0,OK,494.0,OK,39.09,349.09,,,,384.0,₹110.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Apsis Aerocom -> Source symbol: missing/pending -> Security map clean company: Apsis Aerocom -> Security map: NSE APSISAERO -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/APSISAERO/,https://kite.zerodha.com/quote/NSE/APSISAERO,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
2,Indo SMC,Indo SMC,Indo SMC,Indo SMC,544681,544681,,BSE,SME,₹149.00,149.0,OK,472.95,149.0,OK,472.95,OK,0.0,217.42,,,,323.95,₹149.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Indo SMC -> Source symbol: missing/pending -> Security map clean company: Indo SMC -> Forbidden false matches protected: SMLMAH -> Security map: BSE 544681 -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_BSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/544681/,https://kite.zerodha.com/quote/BSE/544681,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
3,Teja Engineering Industries,Teja Engineering Industries,Teja Engineering Industries,Teja Engineering Industries,TEJA,TEJA,,NSE,SME,₹0.00,220.0,OK,623.0,,LISTING_PRICE_MISSING,623.0,OK,,183.18,,,,403.0,₹220.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Teja Engineering Industries -> Source symbol: missing/pending -> Security map clean company: Teja Engineering Industries -> Security map: NSE TEJA -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/TEJA/,https://kite.zerodha.com/quote/NSE/TEJA,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
4,Vivid Electromech,Vivid Electromech,Vivid Electromech,Vivid Electromech,VIVIDEL,VIVIDEL,,NSE,SME,₹565.00,555.0,OK,1470.0,565.0,OK,1470.0,OK,1.8,164.86,,,,915.0,₹555.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Vivid Electromech -> Source symbol: missing/pending -> Security map clean company: Vivid Electromech -> Security map: NSE VIVIDEL -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,63.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/VIVIDEL/,https://kite.zerodha.com/quote/NSE/VIVIDEL,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
5,Vegorama Punjabi Angithi,Vegorama Punjabi Angithi,Vegorama Punjabi Angithi,Vegorama Punjabi Angithi,544765,544765,,BSE,SME,₹118.10,77.0,OK,194.0,118.1,OK,194.0,OK,53.38,151.95,,,,117.0,₹77.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Vegorama Punjabi Angithi -> Source symbol: missing/pending -> Security map clean company: Vegorama Punjabi Angithi -> Forbidden false matches protected: AGUL -> Security map: BSE 544765 -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_BSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/544765/,https://kite.zerodha.com/quote/BSE/544765,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
6,Avana Electrosystems,Avana Electrosystems,Avana Electrosystems,Avana Electrosystems,AVANA,AVANA,,NSE,SME,₹77.50,59.0,OK,146.0,77.5,OK,146.0,OK,31.36,147.46,,,,87.0,₹59.00,,,N/A,EMS/electronics,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Avana Electrosystems -> Source symbol: missing/pending -> Security map clean company: Avana Electrosystems -> Security map: NSE AVANA -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/AVANA/,https://kite.zerodha.com/quote/NSE/AVANA,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
7,Grover Jewells,Grover Jewells,Grover Jewells,Grover Jewells,GJL,GJL,,NSE,SME,₹96.00,88.0,OK,217.15,96.0,OK,217.15,OK,9.09,146.76,,,,129.15,₹88.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Grover Jewells -> Source symbol: missing/pending -> Security map clean company: Grover Jewells -> Security map: NSE GJL -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/GJL/,https://kite.zerodha.com/quote/NSE/GJL,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
8,Millworks Technologies,Millworks Technologies,Millworks Technologies,Millworks Technologies,544826,544826,,BSE,SME,₹628.90,331.0,OK,770.95,628.9,OK,770.95,OK,90.0,132.92,,,,439.95,₹331.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Millworks Technologies -> Source symbol: missing/pending -> Security map clean company: Millworks Technologies -> Forbidden false matches protected: MACOBSTECH -> Security map: BSE 544826 -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_BSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/544826/,https://kite.zerodha.com/quote/BSE/544826,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
9,Accretion Nutraveda,Accretion Nutraveda,Accretion Nutraveda,Accretion Nutraveda,544694,544694,,BSE,SME,₹191.00,129.0,OK,299.0,191.0,OK,299.0,OK,48.06,131.78,,,,170.0,₹129.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Accretion Nutraveda -> Source symbol: missing/pending -> Security map clean company: Accretion Nutraveda -> Forbidden false matches protected: JAIPURKURT -> Security map: BSE 544694 -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_BSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/544694/,https://kite.zerodha.com/quote/BSE/544694,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
10,KRM Ayurveda,KRM Ayurveda,KRM Ayurveda,KRM Ayurveda,KRMAYURVED,KRMAYURVED,,NSE,SME,₹172.10,135.0,OK,304.8,172.1,OK,304.8,OK,27.48,125.78,,,,169.8,₹135.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: KRM Ayurveda -> Source symbol: missing/pending -> Security map clean company: KRM Ayurveda -> Security map: NSE KRMAYURVED -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,55.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,50.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/KRMAYURVED/,https://kite.zerodha.com/quote/NSE/KRMAYURVED,https://www.ipoguru.in/sme-ipo-performance,2026-08-12T15:21:50
