rank,raw_company_name,clean_company_name,display_company_name,company_name,symbol,resolved_tradingsymbol,kite_key,exchange,ipo_type,listing_date,ipo_price,ipo_price_status,ltp,listing_price,listing_price_status,current_price,price_data_status,listing_gain_pct,current_gain_pct,one_month_return_pct,three_month_return_pct,drawdown_from_52w_high_pct,gain_from_ipo_rs,issue_size,ipo_market_cap,market_cap,sector,theme,sector_score,value_score,quarterly_results_score,quarterly_results_rating,quarterly_results_coverage_pct,quarterly_results_explanation,lt_data_quality_score,lt_data_quality_status,lt_investment_score,lt_python_decision,lt_gpt_decision,lt_final_decision,lt_decision_confidence,lt_buy_zone,lt_allocation,lt_key_risk,lt_missing_evidence,lt_score,is_listed_verified,eligible_for_scoring,has_latest_financial_data,has_market_cap_data,has_valuation_data,has_shareholding_data,buy_zone_allowed,financial_data_status,symbol_resolution_confidence,symbol_resolution_status,symbol_resolution_pipeline,verification_status,isin_match_status,screener_url_status,liquidity_score,valuation_status,cash_flow_flag,governance_flag,action,suggested_buy_zone,suggested_allocation,data_quality_score,data_quality_status,risk_alerts,status_badge,status_class,screener_url,broker_url,source_url,_cache_fetched_at
1,Omnitech Engineering,Omnitech Engineering,Omnitech Engineering,Omnitech Engineering,OMNI,OMNI,,NSE,Mainboard,₹205.00,227.0,OK,579.65,205.0,OK,579.65,OK,-9.69,155.35,,,,352.65,₹227.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Omnitech Engineering -> Source symbol: missing/pending -> Security map clean company: Omnitech Engineering -> Security map: NSE OMNI -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/OMNI/,https://kite.zerodha.com/quote/NSE/OMNI,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
2,SEDEMAC Mechatronics,SEDEMAC Mechatronics,SEDEMAC Mechatronics,SEDEMAC Mechatronics,SEDEMAC,SEDEMAC,,NSE,Mainboard,"₹1,535.00",1352.0,OK,3039.45,1535.0,OK,3039.45,OK,13.54,124.81,,,,1687.45,"₹1,352.00",,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: SEDEMAC Mechatronics -> Source symbol: missing/pending -> Security map clean company: SEDEMAC Mechatronics -> Security map: NSE SEDEMAC -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,78.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/SEDEMAC/,https://kite.zerodha.com/quote/NSE/SEDEMAC,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
3,Shadowfax Technologies,Shadowfax Technologies,Shadowfax Technologies,Shadowfax Technologies,SHADOWFAX,SHADOWFAX,,NSE,Mainboard,₹112.60,124.0,OK,245.15,112.6,OK,245.15,OK,-9.19,97.7,,,,121.15,₹124.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Shadowfax Technologies -> Source symbol: missing/pending -> Security map clean company: Shadowfax Technologies -> Security map: NSE SHADOWFAX -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/SHADOWFAX/,https://kite.zerodha.com/quote/NSE/SHADOWFAX,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
4,GSP Crop Science,GSP Crop Science,GSP Crop Science,GSP Crop Science,GSPCROP,GSPCROP,,NSE,Mainboard,₹329.00,320.0,OK,590.45,329.0,OK,590.45,OK,2.81,84.52,,,,270.45,₹320.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: GSP Crop Science -> Source symbol: missing/pending -> Security map clean company: GSP Crop Science -> Security map: NSE GSPCROP -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/GSPCROP/,https://kite.zerodha.com/quote/NSE/GSPCROP,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
5,Amagi Media Labs,Amagi Media Labs,Amagi Media Labs,Amagi Media Labs,AMAGI,AMAGI,,NSE,Mainboard,₹317.00,361.0,OK,638.8,317.0,OK,638.8,OK,-12.19,76.95,,,,277.8,₹361.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Amagi Media Labs -> Source symbol: missing/pending -> Security map clean company: Amagi Media Labs -> Security map: NSE AMAGI -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/AMAGI/,https://kite.zerodha.com/quote/NSE/AMAGI,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
6,OnEMI Technology Solutions (KISSHT),OnEMI Technology Solutions (KISSHT),OnEMI Technology Solutions (KISSHT),OnEMI Technology Solutions (KISSHT),KISSHT,KISSHT,,NSE,Mainboard,₹190.00,171.0,OK,294.15,190.0,OK,294.15,OK,11.11,72.02,,,,123.15,₹171.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: OnEMI Technology Solutions (KISSHT) -> Source symbol: missing/pending -> Security map clean company: OnEMI Technology Solutions (KISSHT) -> Security map: NSE KISSHT -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/KISSHT/,https://kite.zerodha.com/quote/NSE/KISSHT,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
7,Gaudium IVF,Gaudium IVF,Gaudium IVF,Gaudium IVF,GAUDIUMIVF,GAUDIUMIVF,,NSE,Mainboard,₹83.00,79.0,OK,123.35,83.0,OK,123.35,OK,5.06,56.14,,,,44.35,₹79.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Gaudium IVF -> Source symbol: missing/pending -> Security map clean company: Gaudium IVF -> Security map: NSE GAUDIUMIVF -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/GAUDIUMIVF/,https://kite.zerodha.com/quote/NSE/GAUDIUMIVF,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
8,Bharat Coking Coal,Bharat Coking Coal,Bharat Coking Coal,Bharat Coking Coal,BHARATCOAL,BHARATCOAL,,NSE,Mainboard,₹45.00,23.0,OK,33.81,45.0,OK,33.81,OK,95.65,47.0,,,,10.81,₹23.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Bharat Coking Coal -> Source symbol: missing/pending -> Security map clean company: Bharat Coking Coal -> Security map: NSE BHARATCOAL -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/BHARATCOAL/,https://kite.zerodha.com/quote/NSE/BHARATCOAL,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
9,Central Mine Planning & Design Inst...,Central Mine Planning & Design Inst...,Central Mine Planning & Design Inst...,Central Mine Planning & Design Inst...,CMPDI,CMPDI,,NSE,Mainboard,₹160.00,172.0,OK,246.2,160.0,OK,246.2,OK,-6.98,43.14,,,,74.2,₹172.00,,,N/A,Manufacturing capex,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Central Mine Planning & Design Inst... -> Source symbol: missing/pending -> Security map clean company: Central Mine Planning & Design Inst... -> Security map: NSE CMPDI -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/CMPDI/,https://kite.zerodha.com/quote/NSE/CMPDI,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
10,Powerica,Powerica,Powerica,Powerica,POWERICA,POWERICA,,NSE,Mainboard,₹366.00,395.0,OK,563.0,366.0,OK,563.0,OK,-7.34,42.53,,,,168.0,₹395.00,,,N/A,Power & electrical infra,85.0,,,DATA UNAVAILABLE,0.0,"Quarterly score unavailable: revenue, EBITDA, and PAT growth are missing.",10.0,INSUFFICIENT_DATA,7.5,DATA_INSUFFICIENT,NOT_RUN,DATA_INSUFFICIENT,9.25,NOT_CALCULABLE,0.25%,SECURITY_IDENTITY_UNRESOLVED,identity; historical_market; annual_financials; quarterly_results; cash_flow; shareholding; valuation; business_disclosures; peer_data; market_cap; latest_annual_revenue; latest_annual_pat; latest_quarterly_results; debt; promoter_holding,,True,False,False,False,False,False,False,Financial Data Pending,100,SECURITY_MAP_SOURCE_VERIFIED,Clean company name: Powerica -> Source symbol: missing/pending -> Security map clean company: Powerica -> Security map: NSE POWERICA -> Kite exact validation: pending (instrument_master_not_supplied),SOURCE_VERIFIED,MISSING,DIRECT_NSE,70.0,Valuation Data Pending,DATA PENDING,DATA PENDING,DATA PENDING,Wait for valuation + quarterly data,No order,55.0,DATA_GAP,Financial data pending; Market cap data pending; Valuation data pending; Shareholding data pending,Data Pending,watch,https://www.screener.in/company/POWERICA/,https://kite.zerodha.com/quote/NSE/POWERICA,https://www.ipoguru.in/ipo-performance,2026-08-12T15:21:48
